IDProducto;Producto;Marca;IDEmpresa;Seccion;Categoria;Variedad;FigurasCalidad;HEART OF SPAIN
16426;COSTILLAS DE CERDO IBERICO COCINADAS;LA ARTESA SELECCION;2200;PLATOS PREPARADOS;BASE CARNE;PLATO PORCINO;ARTESANIA ALIMENTARIA DE CASTILLA Y LEON;
41563;LECHAZO ASADO EN SU JUGO;LA ARTESA SELECCION;2200;PLATOS PREPARADOS;BASE CARNE;PLATO OVINO;ARTESANIA ALIMENTARIA DE CASTILLA Y LEON;
13045;VINO TINTO ROBLE;ALTO DE LOS ZORROS;32562;BEBIDAS;VINOS;VINO TINTO;VCPRD D.O. RIBERA DEL DUERO;
12641;CHORIZO EXTRA;CRISTO DE MORALES;1120;CHARCUTERIA;EMBUTIDOS;CHORIZO;"ARTESANIA ALIMENTARIA DE CASTILLA Y LEON; M.G. CHORIZO ZAMORANO";
21165;CENTRO DE PALETA DE CERDO BLANCO;JAMONES Y EMBUTIDOS CARDIZA;1120;CHARCUTERIA;CURADOS;PALETA CURADA;ARTESANIA ALIMENTARIA DE CASTILLA Y LEON;
21172;CHICHAS IBERICAS;JAMONES Y EMBUTIDOS CARDIZA;1120;CARNES;PORCINO;ELABORADOS DE CERDO IBERICO;ARTESANIA ALIMENTARIA DE CASTILLA Y LEON;
21173;CODILLO DE PALETA;JAMONES Y EMBUTIDOS CARDIZA;1120;CHARCUTERIA;CURADOS;HUESOS;ARTESANIA ALIMENTARIA DE CASTILLA Y LEON;
21174;CODILLO DE JAMON;JAMONES Y EMBUTIDOS CARDIZA;1120;CHARCUTERIA;CURADOS;HUESOS;ARTESANIA ALIMENTARIA DE CASTILLA Y LEON;
21177;PANCETA SALADA;JAMONES Y EMBUTIDOS CARDIZA;1120;CHARCUTERIA;BACON Y PANCETA;PANCETA;ARTESANIA ALIMENTARIA DE CASTILLA Y LEON;
21184;CHORIZO EXTRA IBERICO;JAMONES Y EMBUTIDOS CARDIZA;1120;CHARCUTERIA;EMBUTIDOS;CHORIZO IBERICO;ARTESANIA ALIMENTARIA DE CASTILLA Y LEON;
22090;JAMON DE CEBO DE CAMPO IBERICO;JAMONES Y EMBUTIDOS CARDIZA;1120;CHARCUTERIA;CURADOS;JAMON IBERICO;"ARTESANIA ALIMENTARIA DE CASTILLA Y LEON; NORMA DE CALIDAD DEL IBERICO";
22091;JAMON DE CEBO DE CAMPO 100% IBERICO;JAMONES Y EMBUTIDOS CARDIZA;1120;CHARCUTERIA;CURADOS;JAMON IBERICO;"ARTESANIA ALIMENTARIA DE CASTILLA Y LEON; NORMA DE CALIDAD DEL IBERICO";
22093;JAMON DE BELLOTA IBERICO;JAMONES Y EMBUTIDOS CARDIZA;1120;CHARCUTERIA;CURADOS;JAMON IBERICO;"ARTESANIA ALIMENTARIA DE CASTILLA Y LEON; NORMA DE CALIDAD DEL IBERICO";
22094;PALETA DE CEBO IBERICA;JAMONES Y EMBUTIDOS CARDIZA;1120;CHARCUTERIA;CURADOS;PALETA IBERICA;"ARTESANIA ALIMENTARIA DE CASTILLA Y LEON; NORMA DE CALIDAD DEL IBERICO";
22096;PALETA DE CEBO DE CAMPO IBERICA;JAMONES Y EMBUTIDOS CARDIZA;1120;CHARCUTERIA;CURADOS;PALETA IBERICA;"ARTESANIA ALIMENTARIA DE CASTILLA Y LEON; NORMA DE CALIDAD DEL IBERICO";
22098;PALETA DE BELLOTA 100% IBERICA;JAMONES Y EMBUTIDOS CARDIZA;1120;CHARCUTERIA;CURADOS;PALETA IBERICA;"ARTESANIA ALIMENTARIA DE CASTILLA Y LEON; NORMA DE CALIDAD DEL IBERICO";
22100;LOMO DE BELLOTA IBERICO;JAMONES Y EMBUTIDOS CARDIZA;1120;CHARCUTERIA;EMBUTIDOS;LOMO IBERICO;"ARTESANIA ALIMENTARIA DE CASTILLA Y LEON; NORMA DE CALIDAD DEL IBERICO";
22101;LOMO DE BELLOTA 100% IBERICO;JAMONES Y EMBUTIDOS CARDIZA;1120;CHARCUTERIA;EMBUTIDOS;LOMO IBERICO;"ARTESANIA ALIMENTARIA DE CASTILLA Y LEON; NORMA DE CALIDAD DEL IBERICO";
